1,1,1,97,61
2,1,2,132,85
3,1,3,86,53
4,1,4,87,60
5,1,5,143,98
6,1,6,142,91
7,1,7,136,96
8,1,8,141,89
9,1,9,,100
10,1,10,134,85
11,1,11,107,69
12,1,12,94,49
13,1,13,107,71
14,1,14,110,71
15,1,15,146,91
16,2,1,117,78
17,2,2,71,43
18,2,3,105,58
19,2,4,133,76
20,2,5,113,73
21,2,6,111,67
22,2,7,120,71
23,2,8,142,88
24,2,9,99,59
25,2,10,71,45
26,2,11,99,68
27,2,12,114,71
28,2,13,121,79
29,2,14,139,83
30,2,15,138,91
31,3,1,110,97
32,3,2,137,99
33,3,3,75,50
34,3,4,75,54
35,3,5,76,44
36,3,6,135,91
37,3,7,120,88
38,3,8,81,63
39,3,9,99,83
40,3,10,77,41
41,3,11,124,82
42,3,12,128,93
43,3,13,119,82
44,3,14,126,95
45,3,15,124,80
46,4,1,105,63
47,4,2,,56
48,4,3,144,83
49,4,4,78,41
50,4,5,120,70
51,4,6,116,74
52,4,7,82,46
53,4,8,104,67
54,4,9,125,80
55,4,10,80,49
56,4,11,81,58
57,4,12,107,66
58,4,13,139,85
59,4,14,87,
60,4,15,144,88
61,5,1,118,85
62,5,2,147,99
63,5,3,124,72
64,5,4,106,65
65,5,5,150,92
66,5,6,129,89
67,5,7,79,51
68,5,8,102,77
69,5,9,98,67
70,5,10,102,52
71,5,11,81,60
72,5,12,76,
73,5,13,94,64
74,5,14,105,72
75,5,15,97,57
76,6,1,70,65
77,6,2,72,41
78,6,3,118,67
79,6,4,122,92
80,6,5,143,93
81,6,6,78,70
82,6,7,86,54
83,6,8,141,88
84,6,9,132,90
85,6,10,120,81
86,6,11,,106
87,6,12,149,101
88,6,13,131,88
89,6,14,136,85
90,6,15,131,82
91,7,1,132,88
92,7,2,136,
93,7,3,91,53
94,7,4,144,96
95,7,5,73,42
96,7,6,112,80
97,7,7,149,
98,7,8,143,106
99,7,9,106,72
100,7,10,111,71
101,7,11,148,85
102,7,12,112,82
103,7,13,110,72
104,7,14,89,
105,7,15,119,61
106,8,1,123,81
107,8,2,79,51
108,8,3,101,75
109,8,4,76,
110,8,5,112,84
111,8,6,76,45
112,8,7,149,94
113,8,8,144,83
114,8,9,125,78
115,8,10,113,87
116,8,11,115,86
117,8,12,144,91
118,8,13,141,99
119,8,14,128,91
120,8,15,135,103
121,9,1,101,67
122,9,2,110,76
123,9,3,90,83
124,9,4,71,55
125,9,5,91,63
126,9,6,131,91
127,9,7,92,71
128,9,8,146,108
129,9,9,78,49
130,9,10,100,83
131,9,11,148,
132,9,12,98,78
133,9,13,120,
134,9,14,85,57
135,9,15,73,58
136,10,1,128,79
137,10,2,108,48
138,10,3,133,81
139,10,4,107,76
140,10,5,109,59
141,10,6,123,61
142,10,7,105,57
143,10,8,89,62
144,10,9,,70
145,10,10,114,72
146,10,11,76,45
147,10,12,125,72
148,10,13,102,62
149,10,14,137,79
150,10,15,75,39
151,11,1,98,65
152,11,2,92,41
153,11,3,121,70
154,11,4,142,92
155,11,5,,48
156,11,6,99,68
157,11,7,103,64
158,11,8,122,79
159,11,9,144,96
160,11,10,141,91
161,11,11,83,59
162,11,12,141,92
163,11,13,95,49
164,11,14,79,50
165,11,15,127,70
166,12,1,131,87
167,12,2,110,69
168,12,3,78,
169,12,4,125,82
170,12,5,104,58
171,12,6,124,70
172,12,7,140,85
173,12,8,90,44
174,12,9,77,48
175,12,10,133,62
176,12,11,116,69
177,12,12,120,73
178,12,13,80,42
179,12,14,130,74
180,12,15,149,95
181,13,1,75,51
182,13,2,90,67
183,13,3,125,88
184,13,4,133,105
185,13,5,134,89
186,13,6,132,96
187,13,7,99,58
188,13,8,128,88
189,13,9,107,72
190,13,10,143,100
191,13,11,145,96
192,13,12,90,
193,13,13,82,56
194,13,14,93,59
195,13,15,144,96
196,14,1,100,80
197,14,2,142,106
198,14,3,123,78
199,14,4,137,101
200,14,5,109,69
201,14,6,136,107
202,14,7,93,66
203,14,8,133,93
204,14,9,139,107
205,14,10,129,83
206,14,11,123,85
207,14,12,103,68
208,14,13,75,51
209,14,14,71,37
210,14,15,79,69
211,15,1,79,50
212,15,2,105,67
213,15,3,80,55
214,15,4,140,91
215,15,5,133,94
216,15,6,107,75
217,15,7,146,90
218,15,8,89,55
219,15,9,137,97
220,15,10,73,51
221,15,11,123,
222,15,12,111,73
223,15,13,104,61
224,15,14,118,80
225,15,15,91,74
226,16,1,113,67
227,16,2,98,54
228,16,3,126,67
229,16,4,106,64
230,16,5,112,71
231,16,6,143,78
232,16,7,107,57
233,16,8,103,62
234,16,9,114,65
235,16,10,82,48
236,16,11,131,70
237,16,12,112,71
238,16,13,92,53
239,16,14,108,79
240,16,15,147,93
241,17,1,136,88
242,17,2,109,68
243,17,3,100,75
244,17,4,84,
245,17,5,90,55
246,17,6,87,59
247,17,7,133,97
248,17,8,77,60
249,17,9,139,102
250,17,10,125,
251,17,11,78,59
252,17,12,72,56
253,17,13,114,71
254,17,14,92,75
255,17,15,126,92
256,18,1,137,93
257,18,2,80,33
258,18,3,149,88
259,18,4,148,90
260,18,5,78,45
261,18,6,111,78
262,18,7,127,72
263,18,8,92,53
264,18,9,,43
265,18,10,71,45
266,18,11,87,48
267,18,12,142,76
268,18,13,139,76
269,18,14,74,
270,18,15,89,68
271,19,1,140,96
272,19,2,120,
273,19,3,75,60
274,19,4,100,81
275,19,5,136,99
276,19,6,135,87
277,19,7,113,83
278,19,8,71,69
279,19,9,140,110
280,19,10,132,96
281,19,11,138,107
282,19,12,95,77
283,19,13,122,85
284,19,14,101,76
285,19,15,111,82
286,20,1,83,53
287,20,2,149,88
288,20,3,127,85
289,20,4,101,60
290,20,5,109,71
291,20,6,107,67
292,20,7,80,38
293,20,8,99,60
294,20,9,73,46
